prix_m2;longitude;latitude;code_secteur_ville;id_parcelle;adresse_code_voie;construction_recente
4628.571428571428;2.224321;48.91606;92025000BZ;92025000BZ0222;1666;1
5222.222222222223;2.231823;48.91578;92025000BF;92025000BF0056;4115;1
4746.153846153846;2.259628;48.92539;920250000T;920250000T0307;6215;0
4553.576555023924;2.254244;48.932511;920250000B;920250000B0249;0010;1
5804.878048780488;2.254244;48.932511;920250000B;920250000B0249;0010;1
4856.9305091044225;2.233543;48.911682;92025000BD;92025000BD0330;1690;0
6385.975609756098;2.241498;48.924817;92025000BL;92025000BL0194;9970;1
4114.8317757009345;2.252068;48.928295;920250000D;920250000D0086;0145;1
4966.442953020134;2.233155;48.91434;92025000BE;92025000BE0149;4270;1
5314.556462226901;2.250827;48.920931;92025000AD;92025000AD0022;4416;0
2835.3856124432923;2.271327;48.932649;920250000M;920250000M0584;4876;0
5690.227098749681;2.237206;48.909276;92025000BC;92025000BC0061;7212;0
5257.575757575758;2.257076;48.93355;920250000H;920250000H0476;3576;1
5003.335557038025;2.257142;48.91448;92025000AJ;92025000AJ0143;3545;0
5370.0;2.241498;48.924817;92025000BL;92025000BL0194;9970;1
5705.852459016393;2.231823;48.91578;92025000BF;92025000BF0056;4115;1
7240.0;2.235033;48.91047;92025000BC;92025000BC0001;1634;0
5110.220440881763;2.245438;48.926059;92025000BS;92025000BS0078;9970;0
4461.221688400824;2.233676;48.914987;92025000BE;92025000BE0170;1634;0
4495.412844036698;2.252097;48.922658;92025000AC;92025000AC0330;4172;0
6036.516853932584;2.255139;48.917996;92025000AF;92025000AF0125;7170;0
4899.913686806412;2.254244;48.932511;920250000B;920250000B0249;0010;1
4643.875278396436;2.26495;48.926371;920250000U;920250000U0231;1512;0
4087.5;2.269419;48.932415;920250000M;920250000M0887;4876;1
6859.090909090909;2.231823;48.91578;92025000BF;92025000BF0056;4115;1
4700.244314978388;2.264816;48.920899;920250000Y;920250000Y0245;9653;0
4517.133956386293;2.255816;48.930136;920250000H;920250000H0026;0046;0
3666.504144319844;2.265536;48.928985;920250000R;920250000R0378;0650;0
4181.51905675898;2.246296;48.927685;92025000BS;92025000BS0073;7165;0
3496.515937731653;2.240829;48.925084;92025000BR;92025000BR0210;9970;0
5922.165820642977;2.241258;48.912784;92025000AS;92025000AS0208;7110;0
5470.459518599562;2.253366;48.927493;920250000D;920250000D0048;0050;0
5634.1789052069425;2.267274;48.923524;920250000V;920250000V0147;9145;0
4604.810996563574;2.253426;48.928191;920250000D;920250000D0068;7220;0
5486.725663716814;2.251743;48.920956;92025000AD;92025000AD0052;0750;0
4857.142857142857;2.264779;48.932588;920250000K;920250000K0307;4745;1
6595.68408690546;2.259411;48.921263;920250000Z;920250000Z0061;6158;0
6542.056074766355;2.252364;48.917971;92025000AL;92025000AL0160;4442;0
4711.111111111111;2.269419;48.932415;920250000M;920250000M0887;4876;1
4373.015873015873;2.264754;48.924076;920250000X;920250000X0266;2505;0
5156.990001754079;2.25553;48.922533;92025000AB;92025000AB0331;4462;0
5642.693190512624;2.255355;48.92065;92025000AE;92025000AE0215;1491;0
5020.080321285141;2.252309;48.913842;92025000AK;92025000AK0092;4660;0
6316.176470588235;2.253184;48.914837;92025000AJ;92025000AJ0197;3545;1
3950.0;2.232656;48.922969;92025000BX;92025000BX0218;1572;1
5003.304020100503;2.254244;48.932511;920250000B;920250000B0249;0010;1
4724.742574257426;2.241874;48.926181;92025000BR;92025000BR0308;5216;0
5852.09003215434;2.254244;48.932511;920250000B;920250000B0249;0010;1
6974.85806974858;2.257246;48.915329;92025000AJ;92025000AJ0121;9611;0
4503.535198278512;2.25553;48.922533;92025000AB;92025000AB0331;0765;0
4572.368421052632;2.270968;48.927711;920250000P;920250000P0127;8567;0
4348.842646714987;2.243315;48.911673;92025000AR;92025000AR0072;9680;0
3846.153846153846;2.258727;48.93356;920250000H;920250000H0230;0130;0
5534.709193245779;2.240597;48.910363;92025000BC;92025000BC0133;7212;0
6339.285714285715;2.253184;48.914837;92025000AJ;92025000AJ0197;3545;1
5634.659090909091;2.271349;48.927369;920250000P;920250000P0208;3153;1
5600.0;2.259659;48.924277;920250000T;920250000T0106;6215;0
2986.06502986065;2.252437;48.928303;920250000D;920250000D0085;0145;0
3629.5200967872024;2.240929;48.927356;92025000BR;92025000BR0272;8152;0
3959.2760180995474;2.246089;48.912433;92025000AR;92025000AR0098;6278;0
4630.7692307692305;2.255366;48.929762;920250000G;920250000G0224;9614;1
8000.0;2.255366;48.929762;920250000G;920250000G0224;9614;1
4739.583333333333;2.253861;48.927309;920250000F;920250000F0014;4138;1
4512.830769230769;2.232628;48.915403;92025000BE;92025000BE0041;1634;1
3093.5808197989168;2.260147;48.933013;920250000H;920250000H0298;0159;0
4615.724381625441;2.251287;48.917072;92025000AL;92025000AL0188;9658;0
4455.040871934605;2.241772;48.911085;92025000AR;92025000AR0066;1646;0
3993.6102236421725;2.231083;48.915453;92025000BF;92025000BF0052;4115;0
4503.275109170306;2.249246;48.924507;92025000BJ;92025000BJ0025;8825;0
6368.5636856368565;2.255184;48.914501;92025000AJ;92025000AJ0183;2539;0
4595.379452762003;2.25553;48.922533;92025000AB;92025000AB0331;4462;0
3149.847094801223;2.260147;48.933013;920250000H;920250000H0298;0159;0
6022.606382978724;2.241049;48.913884;92025000AS;92025000AS0059;3170;0
3776.4350453172206;2.23829;48.92626;92025000BX;92025000BX0207;4628;0
5096.774193548387;2.257076;48.93355;920250000H;920250000H0476;3576;1
4918.604651162791;2.257076;48.93355;920250000H;920250000H0476;3576;1
5669.142857142857;2.256143;48.933553;920250000H;920250000H0481;3576;1
5198.25918762089;2.256616;48.920706;92025000AE;92025000AE0204;0005;0
4866.666666666667;2.232262;48.911353;92025000CF;92025000CF0225;1481;0
5365.8536585365855;2.254803;48.923235;92025000AC;92025000AC0408;6870;0
7142.857142857143;2.257246;48.915329;92025000AJ;92025000AJ0121;9611;0
5697.674418604651;2.252379;48.916973;92025000AL;92025000AL0172;4442;0
4738.028169014085;2.264986;48.923024;920250000X;920250000X0267;6125;0
6210.526315789473;2.23866;48.910519;92025000BC;92025000BC0167;0126;0
3705.128205128205;2.238479;48.922782;92025000BM;92025000BM0292;7278;0
3280.7017543859647;2.258727;48.93356;920250000H;920250000H0230;0130;0
3534.8837209302324;2.246255;48.926389;92025000BS;92025000BS0012;7165;0
5434.782608695652;2.253079;48.920223;92025000AF;92025000AF0176;4442;0
6208.333333333333;2.24239;48.917732;92025000AV;92025000AV0209;3540;0
5272.307692307692;2.259411;48.921263;920250000Z;920250000Z0061;6158;0
6837.931034482759;2.245438;48.926059;92025000BS;92025000BS0078;9970;0
4412.2807017543855;2.265536;48.928985;920250000R;920250000R0378;6127;0
4054.054054054054;2.251921;48.921641;92025000AD;92025000AD0118;4442;0
5258.620689655172;2.250418;48.917911;92025000AL;92025000AL0126;7270;0
3793.103448275862;2.233332;48.909801;92025000CG;92025000CG0013;6114;0
5372.684666666667;2.271349;48.927369;920250000P;920250000P0208;3153;1
5452.380952380952;2.241498;48.924817;92025000BL;92025000BL0194;9970;1
5085.973333333333;2.241498;48.924817;92025000BL;92025000BL0194;9970;1
5847.826086956522;2.259659;48.924277;920250000T;920250000T0106;6215;0
5870.967741935484;2.237791;48.909845;92025000BC;92025000BC0074;7212;0
6022.727272727273;2.264843;48.923143;920250000X;920250000X0217;6125;0
7142.64705882353;2.253839;48.914983;92025000AJ;92025000AJ0266;3545;0
3942.6118391324;2.242915;48.925927;92025000BR;92025000BR0290;3200;0
5248.990578734859;2.259659;48.924277;920250000T;920250000T0106;6215;0
5426.229508196721;2.255366;48.929762;920250000G;920250000G0224;9614;1
5714.285714285715;2.253095;48.924618;920250000E;920250000E0196;9614;1
4050.678087080657;2.2486;48.915932;92025000AP;92025000AP0418;9620;0
4948.216340621404;2.253261;48.916964;92025000AG;92025000AG0299;4442;0
4012.345679012346;2.25553;48.922533;92025000AB;92025000AB0331;0765;0
6753.623188405797;2.253184;48.914837;92025000AJ;92025000AJ0197;3545;1
6837.141820819732;2.238333;48.910359;92025000BC;92025000BC0097;3670;0
4840.8378690417285;2.24232;48.922585;92025000BK;92025000BK0237;7278;0
4332.188981526892;2.25553;48.922533;92025000AB;92025000AB0331;0765;0
4875.525379890074;2.268964;48.928466;920250000Q;920250000Q0394;8567;0
4985.664224275247;2.252133;48.920423;92025000AM;92025000AM0085;4442;0
5006.622516556291;2.267688;48.924792;920250000V;920250000V0187;1604;0
2991.183879093199;2.267088;48.933211;920250000L;920250000L0310;4876;0
5707.189737470167;2.236011;48.912683;92025000AZ;92025000AZ0066;1634;0
6583.278472679394;2.249055;48.924529;92025000BJ;92025000BJ0026;8825;0
2995.9896201934416;2.246255;48.926389;92025000BS;92025000BS0012;7165;0
6176.051318602994;2.257986;48.914937;92025000AI;92025000AI0019;9611;0
3904.7619047619046;2.232656;48.922969;92025000BX;92025000BX0218;1572;1
5659.090909090909;2.255366;48.929762;920250000G;920250000G0224;9614;1
2993.143459915612;2.260147;48.933013;920250000H;920250000H0298;0159;0
4251.700680272108;2.254992;48.921233;92025000AE;92025000AE0242;3195;0
4356.330014224751;2.247647;48.917837;92025000AP;92025000AP0245;0780;0
4576.791300461791;2.233117;48.921747;92025000BO;92025000BO0642;7278;0
6037.037037037037;2.251743;48.920956;92025000AD;92025000AD0052;0750;0
5074.074074074074;2.256143;48.933553;920250000H;920250000H0481;3576;1
6503.195652173913;2.255366;48.929762;920250000G;920250000G0224;0046;1
5407.2307692307695;2.257416;48.914119;92025000AJ;92025000AJ0150;9611;0
4523.2558139534885;2.257076;48.93355;920250000H;920250000H0476;3576;1
4230.414746543779;2.23829;48.92626;92025000BX;92025000BX0207;4628;0
5428.964673497477;2.253965;48.914015;92025000AJ;92025000AJ0294;4442;0
5591.586327782647;2.267261;48.923457;920250000V;920250000V0146;9145;0
4924.415941365094;2.268964;48.928466;920250000Q;920250000Q0394;8567;0
5688.888888888889;2.255366;48.929762;920250000G;920250000G0224;9614;1
7469.166666666667;2.231823;48.91578;92025000BF;92025000BF0056;4115;1
6200.207828195358;2.238479;48.91359;92025000AY;92025000AY0142;6265;0
2886.634009797061;2.226255;48.917958;92025000BQ;92025000BQ0293;1666;0
4447.872477182157;2.260521;48.923527;920250000X;920250000X0180;9653;0
4569.2307692307695;2.255366;48.929762;920250000G;920250000G0224;9614;1
5944.152612662428;2.266863;48.926011;920250000Q;920250000Q0052;3110;0
4491.381403253217;2.247144;48.924855;92025000BJ;92025000BJ0045;3113;0
5873.75803623612;2.243251;48.917321;92025000AU;92025000AU0318;3170;0
3588.882101405009;2.260147;48.933013;920250000H;920250000H0298;0159;0
6148.18;2.232656;48.922969;92025000BX;92025000BX0218;1572;1
4966.463414634146;2.241498;48.924817;92025000BL;92025000BL0194;9970;1
3697.429906542056;2.225002;48.916161;92025000BZ;92025000BZ0027;1530;1
4433.406916850626;2.241788;48.919786;92025000BH;92025000BH0307;4115;0
6443.6686766105995;2.260664;48.923117;920250000X;920250000X0175;4480;0
4599.211563731932;2.253426;48.928191;920250000D;920250000D0068;7220;0
4450.0;2.231823;48.91578;92025000BF;92025000BF0056;4115;1
6435.002813731007;2.255139;48.917996;92025000AF;92025000AF0125;7170;0
5012.8125;2.25553;48.922533;92025000AB;92025000AB0331;4462;0
4244.452945677123;2.25553;48.922533;92025000AB;92025000AB0331;4462;0
4842.993282299641;2.231901;48.915059;92025000BE;92025000BE0386;2573;0
5873.214285714285;2.241498;48.924817;92025000BL;92025000BL0194;9970;1
4027.360988526037;2.235735;48.919656;92025000BN;92025000BN0226;6295;0
4577.777777777777;2.252068;48.928295;920250000D;920250000D0086;0145;1
4944.642857142857;2.241498;48.924817;92025000BL;92025000BL0194;9970;1
4905.75;2.241498;48.924817;92025000BL;92025000BL0194;9970;1
4894.127047542948;2.266021;48.922241;920250000V;920250000V0305;4480;0
