prix_m2;nom_commune;longitude;latitude;code_secteur_ville;id_parcelle;adresse_code_voie;construction_recente;type_appart;centre_ville_distance;nb_ecole_proximite_500m;nb_gare_proximite_500m;nb_supermarket_500m;nb_centrecommercial_proximite_500m;nb_hospital_500m
8507.469512195123;Clichy;2.311397;48.901329;920240000Z;920240000Z0088;3560;1;T4;0.5026264447770217;9;1;11;0;2
7532.732528481551;Clichy;2.307511;48.897737;92024000AC;92024000AC0029;2570;0;T3;0.5952678508419454;4;0;8;0;0
6409.794581720749;Clichy;2.301882;48.908029;920240000E;920240000E0008;5138;0;T2;0.6216718818349375;5;0;5;0;0
7142.857142857143;Clichy;2.301802;48.900804;920240000Q;920240000Q0098;1420;1;T3;0.3193790341693568;8;2;7;0;0
7411.575562700964;Clichy;2.30904;48.901875;920240000Z;920240000Z0007;5140;0;T3;0.31946617596770577;9;1;11;0;1
6885.3240152477765;Clichy;2.301638;48.904576;920240000L;920240000L0012;5150;0;T3;0.31058457586887606;10;1;9;0;0
8741.312184571017;Clichy;2.305607;48.90112;920240000R;920240000R0039;6151;0;T4;0.19455761199673094;10;1;13;0;1
8188.0952380952385;Clichy;2.299056;48.90159;920240000M;920240000M0040;9620;1;T4;0.4507910887991781;7;1;5;0;0
8947.619047619048;Clichy;2.299056;48.90159;920240000M;920240000M0040;9620;1;T2;0.4507910887991781;7;1;5;0;0
6533.435818601076;Clichy;2.304983;48.897328;92024000AD;92024000AD0008;0050;0;T1;0.6096365917254644;1;0;6;0;0
5450.2781641168285;Clichy;2.316524;48.90007;920240000X;920240000X0104;9640;0;T1;0.9036944112766868;4;0;3;0;2
6737.202427259997;Clichy;2.299112;48.903804;920240000M;920240000M0055;3535;1;T3;0.4399026211218294;6;0;5;0;0
6833.3817970340215;Clichy;2.298197;48.900456;920240000N;920240000N0007;6630;0;T2;0.5580766126371156;6;1;4;0;0
7640.521478948493;Clichy;2.304623;48.901628;920240000Q;920240000Q0032;4730;0;T5;0.1332134237724864;10;1;11;0;1
7202.898550724638;Clichy;2.30503;48.906968;920240000J;920240000J0108;3150;1;T4;0.4624953628392877;7;1;5;0;1
8734.52380952381;Clichy;2.299056;48.90159;920240000M;920240000M0040;9620;1;T4;0.4507910887991781;7;1;5;0;0
7798.40848806366;Clichy;2.310659;48.903312;920240000S;920240000S0032;0040;0;T3;0.4244594694118593;14;1;6;0;2
6650.0;Clichy;2.300614;48.90294;920240000L;920240000L0019;3525;1;T3;0.3159998290322829;8;1;9;0;0
7550.0;Clichy;2.311868;48.902844;920240000Z;920240000Z0052;0040;0;T6+;0.5094220960732508;13;1;7;0;2
6512.049477500533;Clichy;2.30455;48.89827;92024000AC;92024000AC0164;0050;0;T3;0.505588325034256;6;0;10;0;0
6639.004149377593;Clichy;2.306246;48.896781;92024000AC;92024000AC0175;0050;0;T2;0.6774648890305754;1;0;6;0;0
3984.69387755102;Clichy;2.320429;48.904603;920240000T;920240000T0262;9640;0;T1;1.1543843998123824;4;0;3;0;1
6574.307304785893;Clichy;2.31586;48.901221;920240000U;920240000U0056;4122;0;T2;0.8213205702230143;5;0;4;0;2
