valeur_fonciere;longitude;latitude;code_secteur_ville;id_parcelle;adresse_code_voie;lots_surface_logement;nombre_pieces_principales;construction_recente
331000.0;2.255366;48.929762;6;82;6;61.0;3.0;1
400000.0;2.253095;48.924618;4;48;4;70.0;4.0;1
227000.0;2.2486;48.915932;39;449;39;56.04;1.0;0
215000.0;2.253261;48.916964;30;346;30;43.45;2.0;0
260000.0;2.25553;48.922533;25;268;25;64.8;3.0;0
466000.0;2.253184;48.914837;33;394;33;69.0;3.0;1
188500.0;2.238333;48.910359;49;538;49;27.57;1.0;0
293500.0;2.24232;48.922585;57;639;57;60.63;3.0;0
265000.0;2.25553;48.922533;25;268;25;61.17;3.0;0
301600.0;2.268964;48.928466;16;140;16;61.86;3.0;0
156500.0;2.252133;48.920423;36;429;36;31.39;1.0;0
189000.0;2.267688;48.924792;21;192;21;37.75;2.0;0
190000.0;2.267088;48.933211;11;108;11;63.52;3.0;0
191305.0;2.236011;48.912683;48;515;48;33.52;2.0;0
200000.0;2.249055;48.924529;56;612;56;30.38;1.0;0
127000.0;2.246255;48.926389;65;676;65;42.39;2.0;0
346600.0;2.257986;48.914937;32;360;32;56.12;3.0;0
164000.0;2.232656;48.922969;67;684;67;42.0;2.0;1
249000.0;2.255366;48.929762;6;82;6;44.0;2.0;1
227000.0;2.260147;48.933013;7;88;7;75.84;5.0;0
275000.0;2.254992;48.921233;28;311;28;64.68;4.0;0
245000.0;2.247647;48.917837;39;446;39;56.24;3.0;0
307240.0;2.233117;48.921747;61;658;61;67.13;3.0;0
163000.0;2.251743;48.920956;27;292;27;27.0;2.0;0
411000.0;2.256143;48.933553;7;91;7;81.0;4.0;1
299147.0;2.255366;48.929762;6;82;6;46.0;2.0;1
351470.0;2.257416;48.914119;33;387;33;65.0;3.0;0
389000.0;2.257076;48.93355;7;90;7;86.0;4.0;1
321300.0;2.23829;48.92626;67;683;67;75.95;4.0;0
355000.0;2.253965;48.914015;33;404;33;65.39;3.0;0
255200.0;2.267261;48.923457;21;188;21;45.64;3.0;0
215000.0;2.268964;48.928466;16;140;16;43.66;2.0;0
256000.0;2.255366;48.929762;6;82;6;45.0;2.0;1
224075.0;2.231823;48.91578;52;582;52;30.0;1.0;1
358000.0;2.238479;48.91359;47;506;47;57.74;3.0;0
165000.0;2.226255;48.917958;63;664;63;57.16;3.0;0
346000.0;2.260521;48.923527;22;209;22;77.79;3.0;0
297000.0;2.255366;48.929762;6;82;6;65.0;3.0;1
215000.0;2.266863;48.926011;16;131;16;36.17;2.0;0
185000.0;2.247144;48.924855;56;613;56;41.19;2.0;0
402000.0;2.243251;48.917321;44;484;44;68.44;3.0;0
235000.0;2.260147;48.933013;7;88;7;65.48;3.0;0
252075.38;2.232656;48.922969;67;684;67;41.0;2.0;1
203625.0;2.241498;48.924817;58;644;58;41.0;2.0;1
395625.0;2.225002;48.916161;68;686;68;107.0;4.0;1
241000.0;2.241788;48.919786;54;604;54;54.36;3.0;0
406080.0;2.260664;48.923117;22;208;22;63.02;4.0;0
210000.0;2.253426;48.928191;3;15;3;45.66;3.0;0
356000.0;2.231823;48.91578;52;582;52;80.0;4.0;1
228700.0;2.255139;48.917996;29;317;29;35.54;2.0;0
240615.0;2.25553;48.922533;25;268;25;48.0;2.0;0
332850.0;2.25553;48.922533;25;268;25;78.42;4.0;0
310000.0;2.231901;48.915059;51;579;51;64.01;3.0;0
246675.0;2.241498;48.924817;58;644;58;42.0;2.0;1
228150.0;2.235735;48.919656;60;651;60;56.65;3.0;0
288400.0;2.252068;48.928295;3;22;3;63.0;3.0;1
415350.0;2.241498;48.924817;58;644;58;84.0;4.0;1
318873.75;2.241498;48.924817;58;644;58;65.0;3.0;1
245000.0;2.266021;48.922241;21;198;21;50.06;2.0;0
191000.0;2.265332;48.929755;9;102;9;40.83;2.0;0
270000.0;2.246255;48.926389;65;676;65;69.19;4.0;0
168021.4;2.235033;48.91047;49;531;49;63.0;3.0;0
215000.0;2.231067;48.918045;53;588;53;55.26;3.0;0
158500.0;2.246255;48.926389;65;676;65;42.95;3.0;0
144000.0;2.251884;48.92068;36;432;36;24.76;1.0;0
396466.0;2.252587;48.932724;1;5;1;90.0;4.0;1
442500.0;2.237885;48.914655;47;512;47;71.17;3.0;0
220000.0;2.263199;48.924723;20;179;20;46.69;1.0;0
383000.0;2.252097;48.922658;26;281;26;79.64;4.0;0
255000.0;2.264766;48.928949;17;151;17;54.0;3.0;0
210000.0;2.245992;48.921918;55;607;55;63.38;3.0;0
117000.0;2.24239;48.917732;45;486;45;21.29;1.0;0
136000.0;2.251922;48.91696;35;416;35;23.91;1.0;0
170000.0;2.249246;48.924507;56;611;56;30.94;2.0;0
276300.0;2.26087;48.925853;19;170;19;62.81;3.0;0
443902.0;2.268964;48.928466;16;140;16;74.02;4.0;0
190000.0;2.271496;48.927161;15;123;15;29.91;2.0;0
209000.0;2.249579;48.923907;56;620;56;43.49;2.0;0
327050.0;2.254244;48.932511;1;3;1;61.5;3.0;1
215735.0;2.252587;48.932724;1;5;1;30.0;1.0;1
370000.0;2.232262;48.911353;71;700;71;65.8;3.0;0
235000.0;2.246603;48.923661;57;635;57;64.31;3.0;0
303500.0;2.253285;48.916375;30;332;30;52.17;2.0;0
341400.0;2.23829;48.92626;67;683;67;79.14;4.0;0
313000.0;2.259853;48.920417;24;232;24;61.65;3.0;0
307000.0;2.235928;48.910174;49;555;49;57.61;3.0;0
334600.0;2.25553;48.922533;25;268;25;79.52;4.0;0
372766.56;2.271349;48.927369;15;128;15;83.0;4.0;1
197205.0;2.232262;48.911353;71;700;71;28.3;1.0;0
555600.0;2.249391;48.921706;37;440;37;95.03;4.0;0
260000.0;2.231307;48.919018;62;660;62;65.48;4.0;0
230000.0;2.24875;48.923265;56;615;56;50.81;3.0;0
460000.0;2.257076;48.93355;7;90;7;100.0;4.0;1
43000.0;2.252379;48.916973;35;417;35;9.02;1.0;0
280000.0;2.249136;48.925567;2;7;2;47.98;3.0;0
324000.0;2.233155;48.91434;51;575;51;63.34;3.0;1
315413.0;2.257076;48.93355;7;90;7;60.0;3.0;1
350300.0;2.254992;48.921233;28;311;28;61.04;1.0;0
347000.0;2.227295;48.914577;69;694;69;64.28;3.0;0
150000.0;2.237069;48.918993;54;598;54;27.02;2.0;0
297000.0;2.255355;48.92065;28;309;28;53.25;3.0;0
302000.0;2.231823;48.91578;52;582;52;60.0;3.0;1
267500.0;2.233155;48.91434;51;575;51;42.0;2.0;1
260500.0;2.252068;48.928295;3;22;3;41.0;2.0;1
160000.0;2.259659;48.924277;19;157;19;37.56;2.0;0
199000.0;2.245373;48.914095;43;479;43;32.88;2.0;0
202000.0;2.255366;48.929762;6;82;6;30.0;1.0;1
245400.0;2.254636;48.914403;33;391;33;41.57;2.0;0
380000.0;2.235928;48.910174;49;555;49;64.67;3.0;0
280000.0;2.253666;48.926823;5;59;5;51.23;3.0;0
227000.0;2.249391;48.921706;37;440;37;35.39;2.0;0
447000.0;2.257076;48.93355;7;90;7;91.0;4.0;1
354000.0;2.254636;48.914403;33;391;33;60.22;3.0;0
497000.0;2.254803;48.923235;26;286;26;83.67;4.0;0
105000.0;2.253238;48.927224;3;18;3;17.8;1.0;0
215000.0;2.254746;48.928869;6;80;6;57.32;2.0;0
237000.0;2.25219;48.918311;36;428;36;39.54;2.0;0
208627.0;2.236011;48.912683;48;515;48;40.15;2.0;0
265000.0;2.262261;48.920069;24;247;24;52.44;3.0;0
357820.84;2.271349;48.927369;15;128;15;84.0;4.0;1
227528.0;2.254244;48.932511;1;3;1;43.0;2.0;1
351666.66;2.271349;48.927369;15;128;15;83.0;4.0;1
